questions,queries,answers
How high is the share of people living in proximity of a busstop in Wetzikon in the year 2014?,SELECT T1.access_by_bus         FROM accessibility_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Wetzikon' AND T1.year = 2014,33.5
Which municipality has the highest share of people living in proximity of a busstop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_bus DESC LIMIT 1,99.1
Which municipality has the minimum share of people living in proximity of a busstop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_bus ASC LIMIT 1,0.0
"What are the highest, lowest and average share of people living in proximity of a busstop?","SELECT MAX(T1.access_by_bus::numeric),         MIN(T1.access_by_bus::numeric), AVG(T1.access_by_bus::numeric)         FROM accessibility_bus AS T1","[99.1, 0.0, 56.21]"
How many municipalities have a share of people living in proximity of a busstop higher than 33.5 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_bus::numeric > 33.5 AND T2.type_id = 1         GROUP BY T1.year",127
How high is the total share of people living in proximity of a busstop in the Canton Zurich in the year 2014?,SELECT T1.access_by_bus FROM accessibility_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,48.3
Which region had the lowest share of people living in proximity of a busstop in the year 2014?,SELECT T2.name         FROM accessibility_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.access_by_bus         LIMIT 1,38.7
How high is the share of people living in proximity of a trainstation in Richterswil in the year 2003?,SELECT T1.access_by_suburban_train         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Richterswil' AND T1.year = 2003,14.5
Which municipality has the highest share of people living in proximity of a trainstation?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train DESC LIMIT 1,82.7
Which municipality has the minimum share of people living in proximity of a trainstation?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train ASC LIMIT 1,0.0
"What are the highest, lowest and average share of people living in proximity of a trainstation?","SELECT MAX(T1.access_by_suburban_train::numeric),         MIN(T1.access_by_suburban_train::numeric), AVG(T1.access_by_suburban_train::numeric)         FROM accessibility_train AS T1","[82.7, 0.0, 7.19]"
How many municipalities have a share of people living in proximity of a trainstation higher than 14.5 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train::numeric > 14.5 AND T2.type_id = 1         GROUP BY T1.year",20
How high is the total share of people living in proximity of a trainstation in the Canton Zurich in the year 2003?,SELECT T1.access_by_suburban_train FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,4.7
Which region had the lowest share of people living in proximity of a trainstation in the year 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
How high is the number of cars per capita in Obfelden in the year 2007?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
Which municipality has the highest number of cars per capita?,SELECT T2.name         FROM spatialunit AS T2         JOIN number_of_passenger_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.passenger_cars_per_1000_inhabitants DESC LIMIT 1,757.1
Which municipality has the minimum number of cars per capita?,SELECT T2.name         FROM spatialunit AS T2         JOIN number_of_passenger_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.passenger_cars_per_1000_inhabitants ASC LIMIT 1,191.8
"What are the highest, lowest and average number of cars per capita?","SELECT MAX(T1.passenger_cars_per_1000_inhabitants::numeric),         MIN(T1.passenger_cars_per_1000_inhabitants::numeric), AVG(T1.passenger_cars_per_1000_inhabitants::numeric)         FROM number_of_passenger_cars AS T1","[757.1, 191.8, 562.85]"
