Kategorie,Sparte,Nachgefragt,Beschluss,Status,Eingangsdatum,Beschlussdatum,ID
Kulturschaffende,Musik,1800,NA,Ablehnung,2020-04-23,2020-06-23,30567759
Kulturunternehmen gemeinnützig,Musik,32800,18800,Ausbezahlt,2020-04-23,2020-08-17,1af2892f
Kulturschaffende,Musik,20900,10600,Ausbezahlt,2020-04-23,2020-08-17,63db53db
Kulturunternehmen gemeinnützig,Musik,45100,36000,Ausbezahlt,2020-04-23,2020-09-03,63c9a6c5
Kulturunternehmen gemeinnützig,Tanz/Theater,47600,64200,Ausbezahlt,2020-04-23,2020-11-17,17a3820a
Kulturunternehmen gewinnorientiert,Tanz/Theater,26100,NA,Ablehnung,2020-04-23,2020-06-04,426fc4d1
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,392500,NA,Ablehnung,2020-04-23,2020-06-16,d8bfe3c5
Kulturunternehmen gemeinnützig,Klubs und Konzertlokale,102800,20100,Ausbezahlt,2020-04-23,2020-09-03,5a7c1e95
Kulturschaffende,Tanz/Theater,18600,10300,Ausbezahlt,2020-04-23,2020-07-10,cd5c1cc7
Kulturschaffende,Musik,5300,NA,Ablehnung,2020-04-23,2020-05-27,4c03efd2
Kulturschaffende,Tanz/Theater,6300,4000,Ausbezahlt,2020-04-23,2020-07-23,8c9a7fb2
Kulturschaffende,Tanz/Theater,16900,6100,Ausbezahlt,2020-04-23,2020-09-29,af5c3c25
Kulturschaffende,Film,15400,2200,Ausbezahlt,2020-04-23,2020-12-08,07cdc017
Kulturschaffende,Musik,11800,2800,Ausbezahlt,2020-04-22,2020-07-21,68275883
Kulturschaffende,Design,240100,NA,Ablehnung,2020-04-23,2020-06-04,59c9db6b
Kulturschaffende,Musik,4400,NA,Ablehnung,2020-04-23,2020-06-04,5a40c556
Kulturschaffende,Musik,2600,0,Ausbezahlt,2020-04-22,2020-07-23,995ea7b5
Kulturunternehmen gewinnorientiert,Musik,159000,124000,Ausbezahlt,2020-04-08,2020-12-02,ded28959
Kulturschaffende,Tanz/Theater,12000,NA,Ablehnung,2020-04-11,2020-06-29,454e5054
Kulturschaffende,Bildende Kunst,18000,NA,Ablehnung,2020-04-13,2020-07-23,804d2fd6
Kulturschaffende,Musik,10700,0,Ausbezahlt,2020-04-13,2020-07-20,bf9aa64e
Kulturschaffende,Tanz/Theater,14100,6000,Ausbezahlt,2020-04-13,2020-08-17,af99a993
Kulturschaffende,Musik,7900,1600,Ausbezahlt,2020-04-13,2020-07-20,c74971b8
Kulturunternehmen gemeinnützig,Tanz/Theater,24000,NA,Ablehnung,2020-04-22,2020-07-21,0224329d
Kulturschaffende,Musik,123000,67700,Ausbezahlt,2020-04-22,2020-08-27,0e05cea1
Kulturunternehmen gemeinnützig,Tanz/Theater,24300,11100,Ausbezahlt,2020-04-22,2020-08-17,ccb2d273
Kulturunternehmen gemeinnützig,Tanz/Theater,737900,472300,Ausbezahlt,2020-04-22,2020-10-26,d0bbfe0f
Kulturschaffende,Musik,6000,2500,Ausbezahlt,2020-04-22,2020-06-29,8c81a69c
Kulturunternehmen gemeinnützig,Bildende Kunst,45400,5700,Ausbezahlt,2020-04-22,2020-10-07,93295a32
Kulturschaffende,Tanz/Theater,18600,400,Ausbezahlt,2020-04-22,2020-09-03,5bf2ad55
Kulturunternehmen gemeinnützig,Bildende Kunst,64700,46700,Ausbezahlt,2020-04-22,2020-06-29,84c0f17f
Kulturschaffende,Musik,15400,2900,Ausbezahlt,2020-04-22,2020-06-23,691b685b
Kulturschaffende,Tanz/Theater,53000,17400,Ausbezahlt,2020-04-21,2020-08-27,5656f554
Kulturunternehmen gewinnorientiert,Literatur,18700,4800,Ausbezahlt,2020-04-21,2020-06-29,57aac2d7
Kulturschaffende,Literatur,6000,1200,Ausbezahlt,2020-04-21,2020-07-10,b300fcc4
Kulturschaffende,Musik,9500,NA,Ablehnung,2020-04-21,2020-08-17,425dab71
Kulturschaffende,Musik,14000,7600,Ausbezahlt,2020-04-21,2020-07-21,d8eaa18c
Kulturschaffende,Tanz/Theater,12200,11100,Ausbezahlt,2020-04-29,2020-08-31,6bcd55c5
Kulturunternehmen gewinnorientiert,Tanz/Theater,49100,37200,Ausbezahlt,2020-04-14,2020-08-27,532c6dde
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,75300,14600,Ausbezahlt,2020-04-17,2020-09-03,470b31b2
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,398400,169700,Ausbezahlt,2020-04-17,2020-09-03,890932ff
Kulturunternehmen gewinnorientiert,Tanz/Theater,180000,38600,Ausbezahlt,2020-04-17,2020-09-01,a7fe64ad
Kulturunternehmen gewinnorientiert,Literatur,23100,3000,Ausbezahlt,2020-04-16,2020-07-21,1b89c285
Kulturschaffende,Film,16200,10300,Ausbezahlt,2020-04-16,2020-06-29,d13f395f
Kulturunternehmen gewinnorientiert,Musik,100000,0,Ausbezahlt,2020-04-15,2020-09-03,c20f3fcb
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,109400,153700,Ausbezahlt,2020-04-15,2020-09-03,6545fb60
Kulturunternehmen gemeinnützig,Bereichsübergreifend,73500,12100,Ausbezahlt,2020-04-15,2020-11-03,378d2a74
Kulturunternehmen gewinnorientiert,Tanz/Theater,57900,NA,Ablehnung,2020-04-15,2020-06-23,4ccc9faf
Kulturunternehmen gemeinnützig,Bereichsübergreifend,22000,17600,Ausbezahlt,2020-04-20,2020-06-23,9465fcd7
Kulturunternehmen gewinnorientiert,Musik,5500,0,Ausbezahlt,2020-04-15,2020-07-20,41d48dfa
Kulturschaffende,Film,79000,NA,Ablehnung,2020-04-16,2020-06-09,e5dae764
Kulturschaffende,Musik,49200,17800,Ausbezahlt,2020-04-17,2020-06-23,50148dc6
Kulturschaffende,Musik,18000,NA,Ablehnung,2020-04-17,2020-05-27,1982ab76
Kulturschaffende,Musik,12300,NA,Ablehnung,2020-04-16,2020-05-27,c273f403
Kulturschaffende,Musik,7800,0,Ausbezahlt,2020-04-15,2020-06-23,5e5e506a
Kulturunternehmen gemeinnützig,Bildende Kunst,27400,6400,Ausbezahlt,2020-04-16,2020-09-09,43a27177
Kulturschaffende,Musik,5500,0,Ausbezahlt,2020-04-15,2020-12-15,3e8d5a87
Kulturunternehmen gemeinnützig,Design,73100,46800,Ausbezahlt,2020-04-14,2020-06-29,dfb954be
Kulturschaffende,Tanz/Theater,120000,12700,Ausbezahlt,2020-04-15,2020-09-09,7cb8c6f6
Kulturschaffende,Musik,1000,NA,Ablehnung,2020-04-16,2020-05-27,57882c00
Kulturunternehmen gemeinnützig,Musik,6400,5100,Ausbezahlt,2020-04-14,2020-09-09,53a57114
Kulturschaffende,Musik,10200,8700,Ausbezahlt,2020-04-17,2020-07-23,b844c86b
Kulturschaffende,Musik,16600,0,Saldo offen,2020-04-16,2021-02-19,15aab6bf
Kulturschaffende,Tanz/Theater,700,NA,Ablehnung,2020-04-16,2020-06-04,880023ae
Kulturschaffende,Musik,21700,1400,Ausbezahlt,2020-04-16,2020-06-16,af429e0c
Kulturschaffende,Musik,5200,0,Ausbezahlt,2020-04-16,2020-06-18,6121d5fc
Kulturschaffende,Tanz/Theater,3800,NA,Ablehnung,2020-04-15,2020-05-27,86d7873d
Kulturschaffende,Literatur,18000,NA,Ablehnung,2020-04-15,2020-06-04,51325f5e
Kulturschaffende,Musik,31900,24600,Ausbezahlt,2020-04-14,2020-07-21,741864eb
Kulturschaffende,Musik,6500,2000,Ausbezahlt,2020-04-17,2020-06-23,f0d84ab9
Kulturschaffende,Tanz/Theater,53300,NA,Ablehnung,2020-04-15,2020-06-26,f4a707d9
Kulturunternehmen gemeinnützig,Musik,201400,157900,Ausbezahlt,2020-04-15,2020-08-27,391c4cd1
Kulturschaffende,Film,10000,5200,Ausbezahlt,2020-04-17,2020-07-10,272718c3
Kulturschaffende,Musik,62200,22300,Ausbezahlt,2020-04-29,2020-09-03,04368d28
Kulturschaffende,Tanz/Theater,9900,NA,Ablehnung,2020-04-09,2020-05-27,49ed20ee
Kulturschaffende,Musik,6800,4200,Ausbezahlt,2020-04-29,2020-07-23,c75cdcc6
Kulturschaffende,Tanz/Theater,52600,25500,Ausbezahlt,2020-04-12,2020-08-27,894e9a03
Kulturschaffende,Musik,10400,3700,Ausbezahlt,2020-04-21,2020-06-18,61a6d366
Kulturschaffende,Musik,4000,1600,Ausbezahlt,2020-04-20,2020-06-16,8d4f8bbd
Kulturschaffende,Musik,3800,1100,Ausbezahlt,2020-04-20,2020-06-18,f7b6b081
Kulturschaffende,Musik,7600,500,Ausbezahlt,2020-04-20,2020-06-23,a3404c86
Kulturunternehmen gewinnorientiert,Musik,100000,71700,Ausbezahlt,2020-04-20,2020-09-03,85dd1955
Kulturunternehmen gewinnorientiert,Bildende Kunst,116500,NA,Ablehnung,2020-04-20,2020-05-27,7bef0b22
Kulturschaffende,Tanz/Theater,12300,NA,Ablehnung,2020-04-20,2020-06-04,1a8e36c0
Kulturschaffende,Tanz/Theater,26000,NA,Ablehnung,2020-04-20,2020-05-27,a5d10c86
Kulturschaffende,Musik,14700,8700,Ausbezahlt,2020-04-19,2020-09-03,b1c0a39b
Kulturschaffende,Musik,5800,2000,Ausbezahlt,2020-04-14,2020-07-20,3c78cc4b
Kulturunternehmen gemeinnützig,Tanz/Theater,14600,NA,Ablehnung,2020-04-13,2020-06-09,e1952c1e
Kulturschaffende,Design,8000,NA,Ablehnung,2020-04-13,2020-07-23,f2fee03c
Kulturschaffende,Film,10100,200,Ausbezahlt,2020-04-27,2020-06-29,57544c1f
Kulturschaffende,Bildende Kunst,25200,NA,Ablehnung,2020-04-11,2020-06-23,059c57ff
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,42300,NA,Ablehnung,2020-04-12,2020-06-04,c8b3293c
Kulturschaffende,Musik,5500,NA,Ablehnung,2020-04-12,2020-07-20,85ada71c
Kulturschaffende,Bildende Kunst,10200,7100,Ausbezahlt,2020-04-12,2020-08-27,979a5adb
Kulturschaffende,Bildende Kunst,2200,NA,Ablehnung,2020-04-11,2020-07-20,2fcab992
Kulturschaffende,Film,15500,NA,Ablehnung,2020-04-11,2020-06-09,a78742e5
Kulturunternehmen gewinnorientiert,Film,107200,46900,Ausbezahlt,2020-04-21,2020-09-09,e9a77837
Kulturschaffende,Tanz/Theater,289000,192800,Ausbezahlt,2020-04-27,2020-06-17,400eee5e
Kulturschaffende,Literatur,44300,1000,Ausbezahlt,2020-04-11,2020-07-09,928fcffe
Kulturschaffende,Film,20200,NA,Ablehnung,2020-04-11,2020-07-10,cbd0867e
Kulturschaffende,Tanz/Theater,7200,NA,Ablehnung,2020-04-11,2020-05-27,21110aff
Kulturunternehmen gewinnorientiert,Musik,14600,0,Ausbezahlt,2020-04-10,2020-07-09,046860a8
Kulturschaffende,Musik,11400,5300,Ausbezahlt,2020-04-14,2020-06-19,b0fc38e0
Kulturschaffende,Film,65700,NA,Ablehnung,2020-04-14,2020-05-27,a0a85b0b
Kulturschaffende,Literatur,7900,1000,Ausbezahlt,2020-04-27,2020-07-21,8884de7a
Kulturschaffende,Bildende Kunst,500,NA,Ablehnung,2020-04-28,2020-06-04,7fecc5d5
Kulturschaffende,Musik,9200,3800,Ausbezahlt,2020-04-28,2020-07-10,2af91bf9
Kulturschaffende,Musik,5700,3500,Ausbezahlt,2020-04-09,2020-06-23,470a1ff1
Kulturschaffende,Film,23400,NA,Ablehnung,2020-04-11,2020-06-09,08f212df
Kulturschaffende,Musik,1600,500,Ausbezahlt,2020-04-14,2020-06-18,187f1721
Kulturschaffende,Musik,57000,NA,Ablehnung,2020-04-14,2020-07-23,418b493d
Kulturschaffende,Musik,13800,2200,Ausbezahlt,2020-04-14,2020-06-17,11ba6a7d
Kulturunternehmen gewinnorientiert,Tanz/Theater,28300,NA,Ablehnung,2020-04-21,2020-08-27,eb1c9b15
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,50000,NA,Ablehnung,2020-04-27,2020-06-04,650982a6
Kulturunternehmen gewinnorientiert,Tanz/Theater,86800,43600,Ausbezahlt,2020-04-24,2020-07-21,0d784ce1
Kulturschaffende,Musik,17100,2700,Ausbezahlt,2020-04-10,2020-06-29,92a2fde6
Kulturschaffende,Tanz/Theater,7300,0,Ausbezahlt,2020-04-10,2020-06-17,8daca983
Kulturschaffende,Design,32000,NA,Ablehnung,2020-04-10,2020-05-27,2d8c6368
Kulturschaffende,Bildende Kunst,12000,NA,Ablehnung,2020-04-10,2020-05-27,55fbd1b9
Kulturschaffende,Tanz/Theater,2900,2300,Ausbezahlt,2020-04-09,2020-06-29,56502b1c
Kulturschaffende,Tanz/Theater,8900,1600,Ausbezahlt,2020-04-09,2020-07-09,d2d3e77a
Kulturunternehmen gemeinnützig,Tanz/Theater,12700,10200,Ausbezahlt,2020-04-09,2020-06-29,3b7e063f
Kulturunternehmen gewinnorientiert,Tanz/Theater,27500,NA,Ablehnung,2020-04-09,2020-06-09,035118e3
Kulturunternehmen gewinnorientiert,Musik,59600,22100,Ausbezahlt,2020-04-09,2020-08-27,2362e5bb
Kulturschaffende,Film,6600,0,Ausbezahlt,2020-04-09,2020-06-17,be04d6a6
Kulturunternehmen gewinnorientiert,Bildende Kunst,60000,NA,Ablehnung,2020-04-09,2020-05-27,f86b5ef1
Kulturschaffende,Bildende Kunst,3000,1800,Ausbezahlt,2020-04-08,2020-06-23,e9976880
Kulturschaffende,Bildende Kunst,10000,5600,Ausbezahlt,2020-04-09,2020-07-20,a8fd0984
Kulturschaffende,Musik,4300,0,Ausbezahlt,2020-04-09,2020-06-24,200987bd
Kulturschaffende,Bildende Kunst,2500,600,Ausbezahlt,2020-04-09,2020-06-17,d7bc56b7
Kulturschaffende,Tanz/Theater,22000,NA,Ablehnung,2020-04-09,2020-06-09,9b337083
Kulturschaffende,Tanz/Theater,8500,NA,Ablehnung,2020-04-08,2020-07-20,db74badc
Kulturschaffende,Musik,12200,4300,Ausbezahlt,2020-04-08,2020-06-17,3e6befe7
Kulturschaffende,Design,6600,300,Ausbezahlt,2020-04-08,2020-06-17,2ea3f4e6
Kulturschaffende,Musik,4400,5400,Ausbezahlt,2020-04-08,2020-07-20,e30a56ee
Kulturunternehmen gewinnorientiert,Musik,26000,NA,Ablehnung,2020-04-27,2020-07-23,e60f8686
Kulturschaffende,Musik,7600,2300,Ausbezahlt,2020-04-15,2020-06-18,396cfd75
Kulturschaffende,Tanz/Theater,30400,NA,Ablehnung,2020-04-16,2020-05-27,736f52ff
Kulturschaffende,Musik,22500,7700,Ausbezahlt,2020-04-20,2020-06-18,6cf7347b
Kulturschaffende,Musik,1400,500,Ausbezahlt,2020-04-14,2020-06-04,56818561
Kulturschaffende,Film,12600,0,Ausbezahlt,2020-04-16,2020-06-18,6fd12b41
Kulturschaffende,Design,11100,NA,Ablehnung,2020-04-15,2020-06-04,2be3d143
Kulturschaffende,Tanz/Theater,8400,NA,Ablehnung,2020-04-14,2020-05-13,a1b0d3a0
Kulturschaffende,Film,18900,10100,Ausbezahlt,2020-04-14,2020-06-29,61366285
Kulturschaffende,Film,9200,5400,Ausbezahlt,2020-04-16,2020-06-23,15463a4e
Kulturschaffende,Bildende Kunst,236500,132100,Ausbezahlt,2020-04-14,2020-11-24,90c7a0b7
Kulturunternehmen gewinnorientiert,Musik,125400,38800,Ausbezahlt,2020-04-08,2020-10-26,872045dc
Kulturschaffende,Musik,2700,NA,Ablehnung,2020-04-14,2020-06-04,1a189663
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,575000,NA,Ablehnung,2020-04-15,2020-05-27,656271fb
Kulturunternehmen gemeinnützig,Bildende Kunst,40600,NA,Ablehnung,2020-04-15,2020-06-04,71e70ff8
Kulturschaffende,Musik,4500,4200,Ausbezahlt,2020-04-17,2020-06-05,ea023c03
Kulturunternehmen gewinnorientiert,Tanz/Theater,21500,17200,Ausbezahlt,2020-04-09,2020-07-20,0d52461e
Kulturschaffende,Film,2500,1000,Ausbezahlt,2020-04-09,2020-06-09,8bb5b497
Kulturschaffende,Musik,16200,5700,Ausbezahlt,2020-04-08,2020-06-23,21438a24
Kulturunternehmen gemeinnützig,Musik,20000,19900,Ausbezahlt,2020-04-08,2020-09-07,df7e9bc7
Kulturschaffende,Film,6300,NA,Ablehnung,2020-04-08,2020-06-09,1b0b54ba
Kulturunternehmen gemeinnützig,Tanz/Theater,40800,20900,Ausbezahlt,2020-04-08,2020-08-26,6b76cf72
Kulturunternehmen gewinnorientiert,Musik,92400,85200,Ausbezahlt,2020-04-09,2020-08-26,86a7c8d4
Kulturunternehmen gewinnorientiert,Musik,13800,8300,Ausbezahlt,2020-04-14,2020-07-21,6f57cf75
Kulturschaffende,Bildende Kunst,11000,NA,Ablehnung,2020-04-09,2020-07-20,f92ea2a6
Kulturunternehmen gemeinnützig,Musik,17700,30700,Ausbezahlt,2020-04-14,2020-06-29,ee923585
Kulturunternehmen gemeinnützig,Musik,20900,11600,Ausbezahlt,2020-04-14,2020-06-23,1e6b18a7
Kulturunternehmen gewinnorientiert,Kino,1815900,1378500,Ausbezahlt,2020-11-30,2020-12-15,a96d5ec4
Kulturunternehmen gewinnorientiert,Kino,10749500,2531400,Ausbezahlt,2020-11-30,2020-12-21,b4544c9e
Kulturunternehmen gewinnorientiert,Musik,26200,8800,Ausbezahlt,2020-09-20,2020-11-25,fc90d49a
Kulturunternehmen gemeinnützig,Bereichsübergreifend,70300,20900,Ausbezahlt,2020-09-20,2020-12-02,f0f35e55
Kulturschaffende,Musik,20700,5400,Ausbezahlt,2020-09-20,2020-12-02,a3404c86
Kulturschaffende,Musik,19600,1200,Ausbezahlt,2020-09-20,2020-12-08,bd74cc32
Kulturunternehmen gemeinnützig,Bereichsübergreifend,8400,6700,Ausbezahlt,2020-09-20,2020-12-02,c209aeaa
Kulturschaffende,Bildende Kunst,10000,1200,Ausbezahlt,2020-09-20,2020-12-02,65157966
Kulturunternehmen gewinnorientiert,Musik,56000,0,Ausbezahlt,2020-09-20,2020-11-25,f3fc525c
Kulturschaffende,Musik,33900,23600,Ausbezahlt,2020-09-20,2020-11-26,615e3acf
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,35900,1600,Ausbezahlt,2020-09-20,2020-11-25,5a2e707e
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,29300,NA,Ablehnung,2020-09-20,2020-11-26,d88c5d4f
Kulturschaffende,Musik,3600,3200,Ausbezahlt,2020-09-19,2020-12-02,9a521d6f
Kulturschaffende,Bildende Kunst,4400,10700,Ausbezahlt,2020-09-19,2020-12-02,29e6b504
Kulturschaffende,Musik,3100,10500,Ausbezahlt,2020-09-19,2020-11-17,f0d84ab9
Kulturschaffende,Literatur,4400,4600,Ausbezahlt,2020-09-19,2020-12-08,cc7e92af
Kulturschaffende,Musik,5500,NA,Ablehnung,2020-09-19,2020-12-02,f4ac2d5b
Kulturunternehmen gemeinnützig,Tanz/Theater,31700,17300,Ausbezahlt,2020-09-19,2020-12-08,9057ac7f
Kulturschaffende,Bereichsübergreifend,15200,7500,Ausbezahlt,2020-09-19,2020-12-08,9100ddf5
Kulturunternehmen gewinnorientiert,Musik,51300,31600,Ausbezahlt,2020-09-19,2020-11-17,b83c71b6
Kulturunternehmen gewinnorientiert,Museen,32400,10500,Ausbezahlt,2020-09-19,2020-12-02,6ed5e616
Kulturunternehmen gewinnorientiert,Musik,66400,47400,Ausbezahlt,2020-09-19,2020-10-26,11aa19b7
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,59100,83800,Ausbezahlt,2020-09-19,2020-12-08,ec0fcc40
Kulturschaffende,Musik,4700,3400,Ausbezahlt,2020-09-19,2020-11-04,ede0d4c9
Kulturschaffende,Bildende Kunst,147700,70800,Ausbezahlt,2020-09-19,2020-12-02,4844cae6
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,1335000,273400,Ausbezahlt,2020-09-19,2020-11-25,f91d0cda
Kulturunternehmen gewinnorientiert,Film,42600,34000,Ausbezahlt,2020-09-19,2020-12-15,a6a08681
Kulturschaffende,Musik,0,2300,Ausbezahlt,2020-09-19,2020-11-17,902481dc
Kulturunternehmen gewinnorientiert,Musik,53800,25300,Ausbezahlt,2020-09-19,2020-11-17,872045dc
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,1697400,0,Ausbezahlt,2020-09-19,2020-12-03,b74f0cfc
Kulturschaffende,Musik,3100,3400,Ausbezahlt,2020-09-19,2020-11-17,2d32f324
Kulturunternehmen gewinnorientiert,Musik,18200,13800,Ausbezahlt,2020-09-19,2020-12-08,a19a96a2
Kulturunternehmen gewinnorientiert,Musik,47100,41800,Ausbezahlt,2020-09-19,2020-11-10,4e5cb62c
Kulturschaffende,Film,6200,2500,Ausbezahlt,2020-09-19,2020-12-02,d13f395f
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,472200,0,Ausbezahlt,2020-09-20,2020-12-02,4fd5de90
Kulturunternehmen gewinnorientiert,Musik,181500,137600,Ausbezahlt,2020-09-20,2020-11-26,bdbf06d6
Kulturschaffende,Musik,17700,3600,Ausbezahlt,2020-09-20,2020-11-17,1baedc4e
Kulturunternehmen gewinnorientiert,Tanz/Theater,3400,2700,Ausbezahlt,2020-09-20,2020-12-02,0d52461e
Kulturschaffende,Musik,1100,1700,Ausbezahlt,2020-09-20,2020-11-10,84f25ee4
Kulturunternehmen gemeinnützig,Museen,57500,77700,Ausbezahlt,2020-09-20,2020-12-02,3cd00c6e
Kulturunternehmen gemeinnützig,Kino,35900,31800,Ausbezahlt,2020-09-20,2020-11-10,7aab52ea
Kulturschaffende,Musik,5600,3100,Ausbezahlt,2020-09-20,2020-11-25,85cc093d
Kulturschaffende,Bildende Kunst,5400,9000,Ausbezahlt,2020-09-20,2020-12-08,bd0c3cdf
Kulturschaffende,Musik,20900,6800,Ausbezahlt,2020-09-20,2020-11-04,660d9d15
Kulturunternehmen gemeinnützig,Tanz/Theater,49600,46300,Ausbezahlt,2020-09-20,2020-11-17,d777ce1c
Kulturschaffende,Musik,3600,1100,Ausbezahlt,2020-09-20,2020-11-16,5f372c82
Kulturschaffende,Musik,7200,1300,Ausbezahlt,2020-09-20,2020-11-24,4c678540
Kulturunternehmen gewinnorientiert,Film,8800,NA,Ablehnung,2020-09-20,2020-12-02,54a389df
Kulturschaffende,Musik,19500,8500,Ausbezahlt,2020-09-20,2020-11-17,cf4b98ba
Kulturunternehmen gewinnorientiert,Musik,31900,42200,Ausbezahlt,2020-09-20,2020-11-25,0b00dad5
Kulturschaffende,Design,0,NA,Ablehnung,2020-09-20,2020-11-18,1254a784
Kulturschaffende,Bereichsübergreifend,16300,7700,Ausbezahlt,2020-05-12,2020-09-22,12321b91
Kulturschaffende,Musik,23500,10600,Ausbezahlt,2020-05-12,2020-09-22,6f0af296
Kulturschaffende,Musik,79900,37600,Ausbezahlt,2020-05-12,2020-08-18,b047991e
Kulturschaffende,Musik,49600,15500,Ausbezahlt,2020-05-05,2020-07-23,45dd7b57
Kulturunternehmen gewinnorientiert,Tanz/Theater,738900,145500,Ausbezahlt,2020-05-12,2020-10-26,7088d47e
Kulturschaffende,Tanz/Theater,61200,21200,Ausbezahlt,2020-05-12,2020-09-17,0b44eb2e
Kulturunternehmen gemeinnützig,Bereichsübergreifend,45300,41000,Ausbezahlt,2020-05-12,2020-09-03,69e4c2ea
Kulturunternehmen gemeinnützig,Tanz/Theater,9300,NA,Ablehnung,2020-05-12,2020-06-23,6fc19b4e
Kulturschaffende,Musik,54100,15800,Ausbezahlt,2020-05-07,2020-10-14,7b912583
Kulturschaffende,Film,25200,NA,Ablehnung,2020-05-04,2020-06-29,b0d261c6
Kulturschaffende,Bereichsübergreifend,10500,6500,Ausbezahlt,2020-05-12,2020-09-10,ada1e6ab
Kulturschaffende,Musik,4400,0,Ausbezahlt,2020-05-07,2020-07-10,19fb420f
Kulturschaffende,Musik,13400,7700,Ausbezahlt,2020-05-12,2020-09-10,9c43f307
Kulturunternehmen gemeinnützig,Bereichsübergreifend,65000,52000,Ausbezahlt,2020-05-12,2020-12-08,f5297a8d
Kulturschaffende,Musik,5100,8600,Ausbezahlt,2020-05-12,2020-09-10,3cdc5ba0
Kulturschaffende,Tanz/Theater,5700,2100,Ausbezahlt,2020-05-12,2020-09-29,f705d249
Kulturunternehmen gemeinnützig,Bereichsübergreifend,6100,3600,Ausbezahlt,2020-05-12,2020-10-07,abb413ce
Kulturschaffende,Musik,20000,NA,Ablehnung,2020-05-12,2020-09-29,daf22bd4
Kulturschaffende,Bereichsübergreifend,3600,1300,Ausbezahlt,2020-05-12,2020-10-20,1969a682
Kulturschaffende,Musik,1200,NA,Ablehnung,2020-05-12,2020-06-16,d79da555
Kulturschaffende,Design,14000,NA,Ablehnung,2020-05-12,2020-06-16,7d08e2b6
Kulturschaffende,Musik,9400,1900,Ausbezahlt,2020-05-12,2020-09-22,8bae545a
Kulturschaffende,Film,29100,2700,Ausbezahlt,2020-05-12,2020-10-27,9b59d4b9
Kulturschaffende,Musik,900,0,Ausbezahlt,2020-05-11,2020-09-21,a27f636b
Kulturschaffende,Musik,1800,8800,Ausbezahlt,2020-05-11,2020-09-21,a27f636b
Kulturschaffende,Musik,1600,0,Ausbezahlt,2020-05-11,2020-09-22,432c2c92
Kulturschaffende,Musik,2000,0,Ausbezahlt,2020-05-11,2020-09-21,a27f636b
Kulturschaffende,Musik,20900,11800,Ausbezahlt,2020-05-11,2020-09-29,3e734b1f
Kulturunternehmen gewinnorientiert,Kino,434200,0,Ausbezahlt,2020-05-11,2020-12-09,81038ddd
Kulturschaffende,Musik,11000,5600,Ausbezahlt,2020-05-11,2020-09-29,4d240b6f
Kulturunternehmen gemeinnützig,Bereichsübergreifend,30300,23600,Ausbezahlt,2020-05-11,2020-10-14,ffc26fcb
Kulturschaffende,Musik,600,NA,Ablehnung,2020-05-11,2020-06-23,b8744fd7
Kulturschaffende,Musik,5400,2200,Ausbezahlt,2020-05-11,2020-09-22,ddbec5c6
Kulturunternehmen gewinnorientiert,Tanz/Theater,904600,NA,Ablehnung,2020-05-11,2020-06-16,894ada1e
Kulturschaffende,Musik,31700,3600,Ausbezahlt,2020-05-11,2020-09-29,f23bc4c0
Kulturschaffende,Bereichsübergreifend,15600,8700,Ausbezahlt,2020-05-11,2020-09-22,210e661a
Kulturschaffende,Musik,22800,8400,Ausbezahlt,2020-05-11,2020-11-04,538dde44
Kulturschaffende,Tanz/Theater,2900,800,Ausbezahlt,2020-05-11,2020-09-10,d2f2d4f9
Kulturunternehmen gemeinnützig,Tanz/Theater,0,NA,Ablehnung,2020-05-11,2020-08-18,10515bdd
Kulturschaffende,Musik,5500,1000,Ausbezahlt,2020-05-11,2020-11-10,86a885ab
Kulturschaffende,Bereichsübergreifend,20000,10400,Ausbezahlt,2020-05-11,2020-09-29,0153f0e3
Kulturschaffende,Design,9000,0,Ausbezahlt,2020-05-11,2020-09-10,a48fe34e
Kulturschaffende,Musik,1900,800,Ausbezahlt,2020-05-11,2020-09-22,1707503e
Kulturschaffende,Tanz/Theater,3400,0,Ausbezahlt,2020-05-10,2020-11-04,d3c6a0bf
Kulturschaffende,Musik,58500,12700,Ausbezahlt,2020-05-10,2020-09-10,333338d4
Kulturschaffende,Musik,14400,3500,Ausbezahlt,2020-05-10,2020-09-22,5cf46306
Kulturschaffende,Tanz/Theater,3700,2300,Ausbezahlt,2020-05-10,2020-09-10,dc73a6a8
Kulturschaffende,Literatur,20100,4300,Ausbezahlt,2020-05-10,2020-09-10,d8581f8a
Kulturschaffende,Musik,7300,1600,Ausbezahlt,2020-05-10,2020-09-22,9f438146
Kulturunternehmen gewinnorientiert,Musik,359800,158200,Ausbezahlt,2020-05-10,2020-11-03,24997625
