from,until,context_bool,context_cat,n_conf,perc_conf,sort
2020-10-08,2020-10-21,Nicht eindeutig,,2168,81.2,0
2020-10-08,2020-10-21,Eindeutig,Eigener Haushalt,183, 6.9,1
2020-10-08,2020-10-21,Eindeutig,Im Haushalt von Freunden / Familie,67, 2.5,2
2020-10-08,2020-10-21,Eindeutig,Arbeitsplatz,55, 2.1,3
2020-10-08,2020-10-21,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,7,< 0.5,4
2020-10-08,2020-10-21,Eindeutig,Obligatorische Schule,1,< 0.5,5
2020-10-08,2020-10-21,Eindeutig,Krippe,1,< 0.5,6
2020-10-08,2020-10-21,Eindeutig,Armee / Zivilschutz,0,0,7
2020-10-08,2020-10-21,Eindeutig,Reise Ausland,6,< 0.5,8
2020-10-08,2020-10-21,Eindeutig,Reise Schweiz,6,< 0.5,9
2020-10-08,2020-10-21,Eindeutig,Hotel oder andere Unterkunft,1,< 0.5,10
2020-10-08,2020-10-21,Eindeutig,Schul- oder Ferienlager,2,< 0.5,11
2020-10-08,2020-10-21,Eindeutig,Club / Bar,19, 0.7,12
2020-10-08,2020-10-21,Eindeutig,Restaurant,31, 1.2,13
2020-10-08,2020-10-21,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-10-08,2020-10-21,Eindeutig,Veranstaltung / Feier < 300 Pers.,5,< 0.5,15
2020-10-08,2020-10-21,Eindeutig,Religiöses / Beerdigungen,1,< 0.5,17
2020-10-08,2020-10-21,Eindeutig,Verein,6,< 0.5,18
2020-10-08,2020-10-21,Eindeutig,Pflege- / Altersheim,3,< 0.5,19
2020-10-08,2020-10-21,Eindeutig,Medizin. Einrichtung,9,< 0.5,20
2020-10-08,2020-10-21,Eindeutig,"Friseur, Massage o.ä.",1,< 0.5,21
2020-10-08,2020-10-21,Eindeutig,Sport in der Halle,11,< 0.5,22
2020-10-08,2020-10-21,Eindeutig,Sport im Freien,3,< 0.5,23
2020-10-08,2020-10-21,Eindeutig,Sonstige Freizeitaktivität drinnen,12,< 0.5,24
2020-10-08,2020-10-21,Eindeutig,Sonstige Freizeitaktivität draussen,1,< 0.5,25
2020-10-08,2020-10-21,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-10-08,2020-10-21,Eindeutig,Sonstige,0,0,27
2020-10-08,2020-10-21,Eindeutig,Ohne Angabe,70, 2.6,28
2020-10-01,2020-10-14,Nicht eindeutig,,1896,80.5,0
2020-10-01,2020-10-14,Eindeutig,Eigener Haushalt,159, 6.8,1
2020-10-01,2020-10-14,Eindeutig,Im Haushalt von Freunden / Familie,66, 2.8,2
2020-10-01,2020-10-14,Eindeutig,Arbeitsplatz,47, 2.0,3
2020-10-01,2020-10-14,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,14, 0.6,4
2020-10-01,2020-10-14,Eindeutig,Obligatorische Schule,3,< 0.5,5
2020-10-01,2020-10-14,Eindeutig,Krippe,2,< 0.5,6
2020-10-01,2020-10-14,Eindeutig,Armee / Zivilschutz,1,< 0.5,7
2020-10-01,2020-10-14,Eindeutig,Reise Ausland,6,< 0.5,8
2020-10-01,2020-10-14,Eindeutig,Reise Schweiz,4,< 0.5,9
