0,1
Wie viel Eigenkapital  hat  in Hedingen  ?,{'entities': []}
Welches ist das Eigenkapital   Hagenbuch und Region Zimmerberg ?,{'entities': []}
Was ist der Anteil an Bruttoverschuldungsanteil   in Hittnau ?,{'entities': []}
Wie viel Steuerbares Vermögen natürliche Pers.  hat  Freienstein-Teufen und Hochfelden  ?,{'entities': []}
Welches ist das Steuerbares Vermögen natürliche Pers.   für alle Bezirke ?,"{'entities': [(64, 73, 'GRAN')]}"
Wie viel Sterbefälle  hat  Winkel  ?,{'entities': []}
Welches ist das Sterbefälle   Regensdorf ?,{'entities': []}
Was ist der Anteil an Jugendquotient   pro Bezirk ?,"{'entities': [(42, 50, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Dienstleistungen: Zunahme   Wangen-Brüttisellen und Kloten ?,{'entities': []}
Wie viel Bevölkerungszunahme 5 Jahre  hat  in Region Zimmerberg  ?,{'entities': []}
Welches ist das Bevölkerungszunahme 5 Jahre   pro Bezirk ?,"{'entities': [(49, 57, 'GRAN')]}"
Was ist der Anteil an ÖV-Anteil (Modal Split)   Illnau-Effretikon und Dättlikon ?,{'entities': []}
"Wie viel Hotels  hat  Region Zürich, Bezirk Dielsdorf und Pfäffikon  ?","{'entities': [(36, 44, 'GRAN')]}"
Welches ist das Hotels   in Stammheim ?,{'entities': []}
Was ist der Anteil an KRW Wähleranteil CVP   Wallisellen ?,{'entities': []}
Was ist der Anteil an NRW Wähleranteil SP   Dättlikon und Fehraltorf ?,{'entities': []}
Was ist der Anteil an Wahlbeteiligung Kantonsrat   Kappel a.A. ?,{'entities': []}
Wie viel Steuerkraft berichtigt pro Kopf  hat  in Horgen (bis 2017)  ?,{'entities': []}
Welches ist das Steuerkraft berichtigt pro Kopf   Wildberg ?,{'entities': []}
"Wie viel Total Arbeitsstätten  hat  Russikon, Regensdorf und Wetzikon  ?",{'entities': []}
Welches ist das Total Arbeitsstätten   in Dänikon ?,{'entities': []}
Wie viel Total VZÄ  hat  in Boppelsen  ?,{'entities': []}
Welches ist das Total VZÄ   für alle Gemeinden ?,"{'entities': [(36, 47, 'GRAN')]}"
"Wie viel Bauinv. ÖV, Kommunik. 5 Jahre  hat  Altikon und Bonstetten  ?",{'entities': []}
"Welches ist das Bauinv. ÖV, Kommunik. 5 Jahre   Maur ?",{'entities': []}
Wie viel Schül. Primarschule  hat  in Rickenbach  ?,{'entities': []}
Welches ist das Schül. Primarschule   in Kappel a.A. ?,{'entities': []}
"Wie viel Neuerstellte Wohnungen  hat  Oberweningen, Bezirk Affoltern und Neftenbach  ?","{'entities': [(51, 59, 'GRAN')]}"
Welches ist das Neuerstellte Wohnungen   in Hüttikon ?,{'entities': []}
Wie viel Steuerb. Vermögen natürl. Pers. 75%-Quantil  hat  in Schlatt  ?,{'entities': []}
Welches ist das Steuerb. Vermögen natürl. Pers. 75%-Quantil   für alle Gemeinden ?,"{'entities': [(70, 81, 'GRAN')]}"
Wie viel Steuerb. Einkommen natürl. Pers. Durchschn.  hat  in Bezirk Hinwil  ?,"{'entities': [(61, 69, 'GRAN')]}"
Welches ist das Steuerb. Einkommen natürl. Pers. Durchschn.   in Hinwil ?,{'entities': []}
Wie viel Steuerb. Vermögen natürl. Pers. Durchschn.  hat  Regensberg und Eglisau  ?,{'entities': []}
Welches ist das Steuerb. Vermögen natürl. Pers. Durchschn.   in Bachenbülach ?,{'entities': []}
Was ist der Anteil an Anteil Gewässerfläche   im Kanton Zürich ?,"{'entities': [(48, 56, 'GRAN')]}"
Wie viel Bauinv. MFH 5 Jahre  hat  pro Gemeinde  ?,"{'entities': [(39, 48, 'GRAN')]}"
Welches ist das Bauinv. MFH 5 Jahre   pro Gemeinde ?,"{'entities': [(42, 51, 'GRAN')]}"
Wie viel Erwerb des Schweizer Bürgerrechts  hat  pro Gemeinde  ?,"{'entities': [(53, 62, 'GRAN')]}"
Welches ist das Erwerb des Schweizer Bürgerrechts   Maschwanden ?,{'entities': []}
Wie viel Verpackungsglasmengen  hat  Zell  ?,{'entities': []}
"Welches ist das Verpackungsglasmengen   Zollikon, Dachsen und Herrliberg ?",{'entities': []}
Wie viel Apotheken  hat  Kappel a.A.  ?,{'entities': []}
Welches ist das Apotheken   Zell und Lufingen ?,{'entities': []}
